Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,OFFeFG,OFFTOV,OFFORB,OFFFT/FGA,DFFeFG,DFFTOV,DFFDRB,DFFFT/FGA,Stats
29,14,68,14,68,-11.6,0.48,-11.12,97,108.3,102.2,0.26,0.036,0.491,0.453,15.9,30.8,0.188,0.505,15.4,65.4,0.246,Phaseout
28,62,20,57,25,6.56,-0.14,6.42,110.9,104.4,99.7,0.333,0.032,0.554,0.504,14.6,34.2,0.264,0.475,13.8,69.7,0.225,LeagueChampion
28.4,50,32,52,30,4.16,-0.12,4.04,107.8,103.6,96.9,0.338,0.033,0.541,0.497,15,33.7,0.25,0.459,14.7,65.6,0.266,Promotion
27.2,47,35,51,31,3.84,-0.05,3.79,107,103.1,99,0.367,0.024,0.552,0.499,16.7,33.4,0.284,0.491,17.8,68.1,0.281,Promotion
25.4,49,33,50,32,3.59,-0.06,3.52,111.5,108.1,103.8,0.322,0.018,0.532,0.482,12.7,36.7,0.25,0.5,14.8,67.7,0.263,Promotion
27.5,54,28,50,32,3.76,-0.44,3.32,110.9,107.3,103.7,0.313,0.031,0.574,0.536,16.1,33.7,0.236,0.487,14.3,66.6,0.232,Promotion
25.8,48,34,50,32,3.55,-0.42,3.13,111.2,107.7,101.1,0.367,0.018,0.556,0.507,15.1,36.4,0.277,0.518,17,67.4,0.259,Promotion
27.7,52,30,47,35,2.2,0.2,2.39,106.8,104.6,99.6,0.396,0.016,0.551,0.497,16.9,34.6,0.299,0.484,16,65.9,0.246,Promotion
25.5,45,37,44,38,1.1,0.17,1.27,106.1,105,103,0.343,0.032,0.54,0.501,16.1,34.6,0.24,0.494,17,67.8,0.292,Promotion
26.8,45,37,44,38,1.13,-0.32,0.81,109,108,104.9,0.374,0.044,0.559,0.505,15.2,30.8,0.292,0.479,13.9,63.4,0.229,Promotion
27.2,41,41,43,39,0.89,-0.24,0.65,108.9,108,101.4,0.305,0.04,0.556,0.514,15.1,31.4,0.232,0.501,15.3,68.3,0.277,Promotion
24.7,43,39,42,40,0.43,-0.27,0.15,110,109.6,99,0.325,0.025,0.547,0.503,13.6,31.7,0.245,0.503,14.4,65.7,0.232,Promotion
27.1,42,40,41,41,-0.17,-0.17,-0.34,107.9,108.1,99.7,0.347,0.02,0.543,0.49,14.3,30.7,0.271,0.492,13.8,66.6,0.226,Promotion
27.4,37,45,40,42,-0.27,-0.23,-0.5,111.2,111.4,106.5,0.337,0.034,0.556,0.511,14,33.4,0.255,0.508,13.7,66.2,0.233,Phaseout
26.6,40,42,37,45,-1.29,0.22,-1.08,105.5,106.9,95.3,0.355,0.016,0.529,0.476,14.4,31.6,0.27,0.482,15.1,65.2,0.268,Promotion
27,38,44,38,44,-1.1,-0.17,-1.27,111.3,112.3,110.5,0.337,0.032,0.553,0.498,12.8,29.3,0.276,0.522,14.6,66.6,0.277,Promotion
26.2,38,44,37,45,-1.48,-0.15,-1.62,106.5,108,102.9,0.345,0.026,0.542,0.49,15.3,32.4,0.268,0.505,16.1,66.9,0.266,Promotion
26.2,35,47,33,49,-2.89,0.53,-2.36,104.2,107.2,97.4,0.319,0.041,0.535,0.489,15.5,30.1,0.241,0.492,13.7,69.7,0.239,Promotion
26.8,29,53,33,49,-3.09,-0.04,-3.12,105.3,108.2,104.7,0.284,0.02,0.535,0.497,15.6,32.8,0.21,0.486,14.1,67.5,0.285,Phaseout
25.5,30,52,33,49,-3.26,0.04,-3.21,109.2,112.4,101.1,0.331,0.017,0.541,0.498,15.3,37.7,0.244,0.513,12.9,68.2,0.236,Phaseout
25.6,37,45,32,50,-3.4,0.05,-3.35,105.5,108.8,103.3,0.342,0.03,0.52,0.471,14.9,35.6,0.254,0.519,17,64.2,0.25,Phaseout
25.4,28,54,30,52,-4.26,0.55,-3.71,104.1,108.5,97.4,0.301,0.023,0.512,0.468,14,33.5,0.224,0.49,13.2,70.8,0.28,Phaseout
24.4,26,56,28,54,-4.82,0.57,-4.25,101.8,106.5,102.1,0.297,0.029,0.531,0.487,15.9,28.1,0.228,0.497,16.2,66.8,0.255,Phaseout
24.4,27,55,28,54,-5.18,0.5,-4.69,102.4,107.5,99.8,0.36,0.017,0.526,0.475,16.3,32.3,0.268,0.497,15.6,67.2,0.266,Phaseout
25.7,59,23,58,24,6.85,-0.16,6.69,110.5,103.6,99.7,0.341,0.041,0.545,0.497,14.2,35.4,0.258,0.467,16.1,65.6,0.29,Promotion
27.4,62,20,58,24,7.35,-0.87,6.48,114.1,107,103.2,0.308,0.041,0.589,0.551,15.7,33.8,0.235,0.485,13.7,67.1,0.22,LeagueChampion
28.5,63,19,57,25,6.65,-0.18,6.47,112.8,106.3,101.6,0.315,0.042,0.564,0.515,13.8,32.8,0.254,0.481,12.6,70.4,0.198,Promotion
27.9,58,24,51,31,4.1,0.07,4.17,111.3,107.3,100.8,0.412,0.032,0.561,0.497,16,37.4,0.331,0.494,15.7,66.6,0.259,Promotion
25.2,42,40,49,33,3.4,-0.6,2.8,110.4,107.2,103.5,0.362,0.027,0.554,0.506,14.8,34,0.271,0.497,15.9,64.4,0.232,Promotion
26.9,46,36,47,35,2.49,0.24,2.73,109.6,107.2,105,0.283,0.025,0.529,0.483,13,35.4,0.223,0.501,14.9,69.6,0.245,Promotion
28.3,52,30,47,35,2.44,-0.39,2.05,110.7,108.4,107.6,0.322,0.029,0.54,0.491,13.2,33.6,0.253,0.516,17,66.1,0.275,Promotion
25,44,38,47,35,2.17,-0.37,1.8,111.5,109.3,98.8,0.319,0.061,0.549,0.499,12.5,30.7,0.253,0.51,14.2,68.8,0.221,Promotion
25.3,48,34,45,37,1.72,-0.34,1.38,107.9,106.3,102.2,0.304,0.025,0.54,0.507,16,37.4,0.213,0.487,15.2,67.4,0.259,Promotion
26.5,42,40,42,40,0.23,0.41,0.64,107.9,107.7,101,0.3,0.03,0.532,0.493,13.8,33.9,0.219,0.505,15.6,68.2,0.263,Promotion
28.1,41,41,43,39,0.91,-0.29,0.63,109.9,109,103.9,0.357,0.028,0.565,0.517,15.6,33.2,0.272,0.501,15,68.5,0.269,Promotion
27.1,40,42,40,42,-0.27,0.42,0.15,104.3,104.6,100.3,0.269,0.054,0.524,0.486,13.4,27.5,0.2,0.491,15.3,68.2,0.226,Promotion
26.9,41,41,41,41,-0.11,-0.22,-0.33,103.3,103.4,105.1,0.333,0.042,0.534,0.483,15.8,29,0.257,0.469,15.7,65.3,0.238,Promotion
25.2,38,44,39,43,-0.84,0.34,-0.5,108.7,109.6,99.4,0.366,0.023,0.556,0.502,15.4,32.2,0.287,0.495,13.8,67.5,0.257,Promotion
25.5,34,48,37,45,-1.45,0.31,-1.14,105.9,107.3,99.8,0.333,0.033,0.536,0.489,15.3,32.5,0.25,0.485,15.2,63.8,0.249,Phaseout
26.6,36,46,34,48,-2.76,0.48,-2.27,106,108.7,101.9,0.338,0.045,0.526,0.478,14.1,32.9,0.254,0.483,13.7,66.9,0.265,Promotion
26.4,36,46,35,47,-2.11,-0.23,-2.34,104.7,106.8,102.5,0.319,0.043,0.544,0.497,16.3,29.8,0.246,0.498,15,68.3,0.24,Promotion
26.1,31,51,34,48,-2.67,-0.04,-2.71,109.5,112.1,104.4,0.357,0.033,0.559,0.508,15.9,34,0.278,0.514,14.2,66.6,0.262,Phaseout
25.8,24,58,29,53,-4.63,0.54,-4.09,104.9,109.6,99.5,0.331,0.028,0.53,0.487,15.2,31.7,0.24,0.499,16.5,63.3,0.339,Phaseout
27.3,31,51,30,52,-4.49,-0.07,-4.55,105.8,110.3,100.9,0.31,0.026,0.543,0.499,16.4,33.8,0.235,0.495,12.7,66.1,0.21,Phaseout
26.4,31,51,27,55,-5.44,0,-5.44,102.8,108.2,99.3,0.334,0.027,0.529,0.477,15.9,30,0.257,0.498,14.6,67.3,0.238,Phaseout
24.1,22,60,26,56,-6.21,0.75,-5.46,102.5,108.4,105.1,0.344,0.021,0.527,0.478,16.1,31.7,0.255,0.499,14.3,70.5,0.282,Phaseout
26.1,22,60,24,58,-7.34,0.13,-7.21,106,113,103.2,0.335,0.053,0.522,0.47,14.4,34.5,0.257,0.54,16.1,66,0.268,Phaseout
29.3,67,15,63,19,9.41,-0.36,9.06,111.8,102.6,101.2,0.307,0.054,0.564,0.518,14.1,31.3,0.244,0.466,13,71.7,0.216,LeagueChampion
26,57,25,62,20,9.04,-0.35,8.69,111.4,102.7,102.1,0.369,0.052,0.552,0.501,13.9,33.8,0.282,0.473,16.6,67.4,0.281,Promotion
28.1,62,20,59,23,7.74,-0.91,6.84,113.3,105.8,102.7,0.317,0.056,0.575,0.532,14.9,33.1,0.247,0.484,13.5,69.8,0.239,Promotion
25.3,50,32,47,35,2.37,0.22,2.59,107.9,105.6,100,0.385,0.024,0.542,0.493,15.3,34.9,0.282,0.481,15.4,66.7,0.269,Promotion
28,54,28,47,35,2.35,0.11,2.46,108.6,106.3,100.5,0.398,0.032,0.546,0.49,16.1,37.3,0.302,0.499,15.6,66.7,0.211,Promotion
26,51,31,48,34,2.61,-0.51,2.1,110.1,107.6,103.5,0.317,0.04,0.536,0.496,13.6,35.5,0.232,0.497,14.8,67.2,0.243,Promotion
26.5,46,36,44,38,1.17,0.27,1.44,109,107.9,104.2,0.297,0.023,0.534,0.488,13.3,33.5,0.232,0.496,14.9,67.6,0.266,Promotion
28.1,47,35,44,38,1.3,-0.42,0.89,107.1,105.9,106.7,0.307,0.039,0.527,0.475,13,30.9,0.245,0.495,16.9,64.1,0.266,Promotion
25.8,44,38,44,38,1.1,-0.4,0.7,112.1,111,102.2,0.364,0.061,0.562,0.51,13.3,30,0.283,0.508,13,66.8,0.201,Promotion
26.6,40,42,44,38,1.06,-0.45,0.61,109.2,108.2,104.5,0.384,0.038,0.554,0.501,15.2,32.8,0.294,0.507,16.4,66.3,0.275,Promotion
26.6,31,51,41,41,-0.1,-0.37,-0.47,105.9,106,97.4,0.33,0.042,0.53,0.478,15.1,33.2,0.257,0.492,15.7,68.7,0.282,Phaseout
26.2,42,40,40,42,-0.37,-0.3,-0.67,104.2,104.6,103.3,0.38,0.024,0.536,0.49,15.5,29.8,0.272,0.477,15.4,67.2,0.258,Promotion
27.1,39,43,36,46,-1.8,0.53,-1.28,103,104.8,99.1,0.32,0.057,0.518,0.471,14.2,29.1,0.238,0.472,14.2,66.1,0.224,Promotion
27.5,39,43,36,46,-1.99,0.6,-1.39,105,106.9,103.3,0.328,0.029,0.536,0.489,15.9,33.3,0.248,0.499,15.5,70.6,0.282,Promotion
27.8,35,47,36,46,-1.85,-0.2,-2.06,106.5,108.2,103.8,0.355,0.028,0.555,0.509,16.5,31.7,0.265,0.499,15.2,67.6,0.26,Promotion
27,29,53,34,48,-2.87,0.68,-2.19,105.5,108.3,101.6,0.321,0.054,0.535,0.49,14.6,30.3,0.241,0.48,13.6,68.5,0.292,Phaseout
25,26,56,32,50,-3.33,0.67,-2.66,102.6,105.9,100.9,0.305,0.02,0.525,0.483,15.7,31.5,0.226,0.479,13.7,71.3,0.277,Phaseout
26.6,30,52,31,51,-3.8,0.69,-3.12,108.6,112.4,99.7,0.346,0.044,0.538,0.487,14.7,35.1,0.266,0.509,13.5,67.4,0.28,Promotion
26.3,32,50,33,49,-2.99,-0.17,-3.16,104.3,107.2,104.8,0.384,0.026,0.552,0.506,17.7,31.3,0.279,0.495,15.1,68.3,0.279,Phaseout
